
,,,,,,,,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Team Totals,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Miscellaneous,Team,Team,Team,Team,Opponent,Opponent,Opponent,Opponent
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
157,2007-08,PHO*,NBA,82,55,27,.671,19780,3392,6782,2698,5018,694,1764,1548,1977,720,2683,3403,2188,532,518,1184,1633,9026,5.05,0.09,5.14,96.7,113.3,108.1,.551,13.4,22.4,0.228,.488,11.8,29.1,0.191
158,2009-10,DAL*,NBA,82,55,27,.671,19880,3140,6760,2582,5262,558,1498,1526,1870,834,2586,3420,1917,624,449,1059,1563,8364,2.72,-0.05,2.67,92.5,109.2,106.3,.506,12.3,24.3,0.226,.495,13.6,26.3,0.206
159,2010-11,OKC*,NBA,82,55,27,.671,20005,3066,6609,2579,5206,487,1403,1977,2401,903,2604,3507,1672,654,487,1156,1836,8596,3.79,0.02,3.81,92.7,111.2,107.2,.501,13.1,27.4,0.299,.493,12.9,26.4,0.228
160,1973-74,CHI*,NBA,82,54,28,.659,19780,3292,7378,,,,,1784,2314,1143,2616,3759,1868,764,316,1690,1874,8368,3.30,-0.10,3.20,105.0,96.7,93.6,.446,16.8,29.5,0.242,.460,18.9,30.3,0.197
Rk,Season,Tm,Lg,G,W,L,W/L%,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
161,1975-76,BOS*,NBA,82,54,28,.659,19755,3527,7901,,,,,1654,2120,1369,2972,4341,1980,561,260,1609,2002,8708,2.34,-0.10,2.24,106.9,98.9,96.7,.446,15.4,34.0,0.209,.449,14.1,25.9,0.198
162,1978-79,WSB*,NBA,82,54,28,.659,19780,3819,7873,,,,,1785,2428,1309,2768,4077,2169,614,401,1420,1804,9423,4.99,-0.24,4.75,106.5,107.4,102.7,.485,13.7,34.0,0.227,.475,13.1,29.9,0.176
163,1980-81,LAL*,NBA,82,54,28,.659,19805,3780,7382,3763,7288,17,94,1540,2113,1165,2491,3656,2363,808,551,1557,1955,9117,3.84,-0.57,3.27,102.7,107.6,103.9,.513,15.8,33.9,0.209,.468,14.6,35.6,0.208
164,1983-84,LAL*,NBA,82,54,28,.659,19780,3854,7250,3796,7024,58,226,1712,2272,1095,2499,3594,2455,726,478,1578,2054,9478,3.76,-0.44,3.32,103.7,110.9,107.3,.536,16.1,33.7,0.236,.487,14.3,33.4,0.232
165,1985-86,PHI*,NBA,82,54,28,.659,19905,3435,7058,3384,6834,51,224,2130,2810,1326,2378,3704,2017,862,490,1595,1798,9051,2.35,0.11,2.47,100.5,108.6,106.3,.490,16.1,37.3,0.302,.499,15.6,33.3,0.211
166,1987-88,DEN*,NBA,82,54,28,.659,19780,3770,7961,3578,7399,192,562,1841,2289,1163,2442,3605,2300,832,401,1186,1982,9573,4.07,-0.75,3.32,105.5,110.1,106.3,.486,11.7,29.7,0.231,.498,16.0,32.6,0.260
167,1987-88,DET*,NBA,82,54,28,.659,19780,3461,7018,3403,6816,58,202,1977,2612,1181,2482,3663,2011,588,394,1348,1957,8957,5.17,0.29,5.46,98.3,110.5,105.3,.497,14.2,34.2,0.282,.475,14.0,31.5,0.245
168,1989-90,PHO*,NBA,82,54,28,.659,19855,3544,7139,3368,6596,176,543,2159,2716,1053,2651,3704,2109,668,501,1275,1825,9423,7.10,-0.01,7.09,100.7,113.1,106.2,.509,13.3,31.1,0.302,.478,12.8,31.2,0.209
169,1990-91,UTA*,NBA,82,54,28,.659,19780,3214,6537,3066,6079,148,458,1951,2472,867,2474,3341,2217,652,451,1305,1796,8527,3.33,-0.15,3.18,95.3,108.6,105.1,.503,14.6,27.6,0.298,.473,13.7,30.8,0.230
170,1992-93,CLE*,NBA,82,54,28,.659,19830,3425,6887,3142,6145,283,742,1699,2119,929,2496,3425,2349,615,536,1120,1580,8832,6.45,-0.15,6.30,94.8,112.7,106.0,.518,12.5,28.1,0.247,.482,13.1,30.9,0.185
